Player,Position,Age,Matches Played,Starts,Minutes Played,No of 90 minutes played,Goals,Assists,Non-Penalty Goals,Penalty Goals,Penalty Kicks Attempted,Yellow Card,Red Card,Goals per 90 minutes,Assists per 90 minutes,G+A per 90 minutes,Non-Penalty Goals per 90 minutes,Non-Penalty G+A per 90 minutes,Team,,,,,,
Álvaro Morata,FW,28,5,4,349,3.9,4,0,3,1,1,0,0,1.03,0,1.03,0.77,0.77,Spain,,,,,,
Rui Patrício,GK,32,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,,,,,,
João Cancelo,DF,26,2,1,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,,,,,,
Pepe,DF,37,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,Portugal,,,,,,
Nélson Semedo,DF,27,3,3,244,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,,,,,,
José Fonte,DF,37,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,,,,,,
Raphaël Guerreiro,DF,27,5,5,450,5,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,Portugal,,,,,,
Rúben Dias,DF,23,6,6,540,6,0,1,0,0,0,2,0,0,0.17,0.17,0,0.17,Portugal,,,,,,
William Carvalho,MF,28,2,2,180,2,2,0,2,0,0,1,0,1,0,1,1,1,Portugal,,,,,,
Rúben Neves,MF,23,4,2,182,2,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,,,,,,
Danilo Pereira,MF,29,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,,,,,,
Bruno Fernandes,MF,26,6,5,424,4.7,1,1,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Portugal,,,,,,
Gonçalo Guedes,"MF,FW",24,4,2,140,1.6,2,0,2,0,0,0,0,1.29,0,1.29,1.29,1.29,Portugal,,,,,,
Bernardo Silva,"MF,FW",26,6,6,499,5.5,3,6,3,0,0,1,0,0.54,1.08,1.62,0.54,1.62,Portugal,,,,,,
Diogo Jota,"FW,MF",24,2,0,28,0.3,0,1,0,0,0,0,0,0,3.21,3.21,0,3.21,Portugal,,,,,,
Rafa Silva,"FW,MF",27,1,0,35,0.4,0,1,0,0,0,0,0,0,2.57,2.57,0,2.57,Portugal,,,,,,
Cristiano Ronaldo,"FW,MF",35,6,6,520,5.8,11,0,8,3,3,0,0,1.9,0,1.9,1.38,1.38,Portugal,,,,,,
André Silva,FW,25,1,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,,,,,,
João Félix,FW,21,4,2,243,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Portugal,,,,,,
Kevin Trapp,GK,30,0,0,,,,,,,,,,,,,,,Germany,,,,,,
Bernd Leno,GK,28,0,0,,,,,,,,,,,,,,,Germany,,,,,,
Manuel Neuer,GK,34,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Germany,,,,,,
Robin Koch,DF,24,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Germany,,,,,,
Marcel Halstenberg,DF,29,3,2,225,2.5,1,1,1,0,0,0,0,0.4,0.4,0.8,0.4,0.8,Germany,,,,,,
Matthias Ginter,DF,27,5,5,392,4.4,1,2,1,0,0,0,0,0.23,0.46,0.69,0.23,0.69,Germany,,,,,,
Niklas Süle,DF,25,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Germany,,,,,,
Lukas Klostermann,"DF,MF",24,6,6,514,5.7,0,2,0,0,0,0,0,0,0.35,0.35,0,0.35,Germany,,,,,,
Kai Havertz,MF,21,3,1,143,1.6,0,2,0,0,0,0,0,0,1.26,1.26,0,1.26,Germany,,,,,,
Toni Kroos,MF,31,4,4,360,4,3,2,2,1,1,0,0,0.75,0.5,1.25,0.5,1,Germany,,,,,,
?lkay Gündo?an,MF,30,6,5,432,4.8,3,2,2,1,1,0,0,0.62,0.42,1.04,0.42,0.83,Germany,,,,,,
Joshua Kimmich,MF,25,7,7,630,7,0,2,0,0,0,1,0,0,0.29,0.29,0,0.29,Germany,,,,,,
Leon Goretzka,"MF,FW",25,4,3,262,2.9,4,0,4,0,0,0,0,1.37,0,1.37,1.37,1.37,Germany,,,,,,
Leroy Sané,MF,25,2,2,180,2,2,1,2,0,0,0,0,1,0.5,1.5,1,1.5,Germany,,,,,,
Serge Gnabry,"FW,MF",25,6,6,503,5.6,7,1,7,0,0,1,0,1.25,0.18,1.43,1.25,1.43,Germany,,,,,,
Timo Werner,FW,24,5,3,245,2.7,2,0,2,0,0,0,0,0.73,0,0.73,0.73,0.73,Germany,,,,,,
Péter Gulácsi,GK,30,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Hungary,,,,,,
Dénes Dibusz,GK,30,0,0,,,,,,,,,,,,,,,Hungary,,,,,,
Endre Botka,DF,26,2,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Hungary,,,,,,
Attila Szalai,DF,23,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,Hungary,,,,,,
Ádám Lang,DF,28,3,2,225,2.5,0,0,0,0,0,1,0,0,0,0,0,0,Hungary,,,,,,
Gerg? Lovrencsics,DF,32,7,6,509,5.7,0,0,0,0,0,2,0,0,0,0,0,0,Hungary,,,,,,
Willi Orban,DF,28,7,7,630,7,3,0,3,0,0,0,0,0.43,0,0.43,0.43,0.43,Hungary,,,,,,
Loïc Nego,"DF,MF",30,2,0,28,0.3,1,0,1,0,0,0,0,3.21,0,3.21,3.21,3.21,Hungary,,,,,,
András Schäfer,MF,21,0,0,,,,,,,,,,,,,,,Hungary,,,,,,
Tamás Cseri,MF,33,0,0,,,,,,,,,,,,,,,Hungary,,,,,,
Dániel Gazdag,MF,24,1,0,9,0.1,0,0,0,0,0,1,0,0,0,0,0,0,Hungary,,,,,,
Dávid Sigér,MF,30,3,1,125,1.4,0,1,0,0,0,0,0,0,0.72,0.72,0,0.72,Hungary,,,,,,
Filip Holender,MF,26,5,3,212,2.4,0,0,0,0,0,0,0,0,0,0,0,0,Hungary,,,,,,
László Kleinheisler,MF,26,4,3,231,2.6,0,1,0,0,0,3,1,0,0.39,0.39,0,0.39,Hungary,,,,,,
Roland Sallai,"MF,FW",23,6,6,517,5.7,0,0,0,0,0,0,0,0,0,0,0,0,Hungary,,,,,,
Roland Varga,"FW,MF",31,3,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Hungary,,,,,,
Nemanja Nikoli?,FW,33,2,0,51,0.6,1,0,1,0,0,0,0,1.76,0,1.76,1.76,1.76,Hungary,,,,,,
Ádám Szalai,FW,33,8,8,681,7.6,0,0,0,0,0,1,0,0,0,0,0,0,Hungary,,,,,,
Mike Maignan,GK,25,0,0,,,,,,,,,,,,,,,France,,,,,,
Steve Mandanda,GK,35,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,France,,,,,,
Hugo Lloris,GK,34,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,France,,,,,,
Kurt Zouma,DF,26,1,1,90,1,1,0,1,0,0,1,0,1,0,1,1,1,France,,,,,,
Presnel Kimpembe,DF,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,France,,,,,,
Lucas Hernández,DF,24,2,2,169,1.9,0,1,0,0,0,1,0,0,0.53,0.53,0,0.53,France,,,,,,
Lucas Digne,DF,27,6,4,342,3.8,0,0,0,0,0,1,0,0,0,0,0,0,France,,,,,,
Benjamin Pavard,DF,24,6,5,453,5,0,0,0,0,0,1,0,0,0,0,0,0,France,,,,,,
Raphaël Varane,DF,27,7,7,630,7,1,1,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,France,,,,,,
Clément Lenglet,DF,25,7,7,630,7,1,0,1,0,0,1,0,0.14,0,0.14,0.14,0.14,France,,,,,,
Leo Dubois,"DF,MF",26,3,3,267,3,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,France,,,,,,
N'Golo Kanté,MF,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,France,,,,,,
Thomas Lemar,MF,25,5,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,France,,,,,,
