Player,Team,Goals per 90 minutes,Assists per 90 minutes,Total Goal Contribution Percent,Total Goal Contribution,Total Assists Contribution Percent,Total Assists Contribution
Marcus Danielsson,Sweden,0.5,0.5,5.88,0.08,14.71,0.2
Robin Quaison,Sweden,0.47,0.16,5.53,0.07,4.71,0.06
Marcus Berg,Sweden,0.36,0.36,4.24,0.06,10.59,0.14
Seb Larsson,Sweden,0.36,0.36,4.24,0.06,10.59,0.14
Emil Forsberg,Sweden,0.17,0.17,2,0.03,5,0.07
Muamer Tanković,Sweden,0,0,0,0,0,0
Dejan Kulusevski,Sweden,0,0,0,0,0,0
Kristoffer Olsson,Sweden,0,0,0,0,0,0
Albin Ekdal,Sweden,0,0.17,0,0,5,0.07
Kristoffer Nordfeldt,Sweden,0,0,0,0,0,0
Ken Sema,Sweden,0,0,0,0,0,0
Robin Olsen,Sweden,0,0,0,0,0,0
Florian Thauvin,France,1.13,1.13,18.77,0.32,8.28,0.14
Jonathan Ikone,France,1.08,1.08,17.94,0.3,7.92,0.13
Wissam Ben Yedder,France,0.65,0,10.8,0.18,0,0
Kingsley Coman,France,0.58,0,9.63,0.16,0,0
Kylian Mbappé,France,0.33,0.33,5.48,0.09,2.42,0.04
Corentin Tolisso,France,0.17,0,2.82,0.05,0,0
Raphaël Varane,France,0.14,0.14,2.33,0.04,1.03,0.02
Antoine Griezmann,France,0.12,0.62,1.99,0.03,4.55,0.08
Thomas Lemar,France,0,0,0,0,0,0
Nabil Fekir,France,0,9.47,0,0,69.43,1.17
Moussa Sissoko,France,0,0,0,0,0,0
Blaise Matuidi,France,0,0,0,0,0,0
Paul Pogba,France,0,0,0,0,0,0
N'Golo Kanté,France,0,0,0,0,0,0
Leon Goretzka,Germany,1.37,0,18.54,0.5,0,0
Serge Gnabry,Germany,1.25,0.18,16.91,0.46,1.64,0.04
Leroy Sané,Germany,1,0.5,13.53,0.37,4.55,0.12
Marco Reus,Germany,0.75,0.25,10.15,0.27,2.27,0.06
Toni Kroos,Germany,0.75,0.5,10.15,0.27,4.55,0.12
İlkay Gündoğan,Germany,0.62,0.42,8.39,0.23,3.82,0.1
Marcel Halstenberg,Germany,0.4,0.4,5.41,0.15,3.64,0.1
Julian Brandt,Germany,0.29,0.29,3.92,0.11,2.64,0.07
Matthias Ginter,Germany,0.23,0.46,3.11,0.08,4.18,0.11
Suat Serdar,Germany,0,0,0,0,0,0
Luca Waldschmidt,Germany,0,0,0,0,0,0
Julian Draxler,Germany,0,3.1,0,0,28.18,0.76
Joshua Kimmich,Germany,0,0.29,0,0,2.64,0.07
Kai Havertz,Germany,0,1.26,0,0,11.45,0.31
Marc-André ter Stegen,Germany,0,0,0,0,0,0
Manuel Neuer,Germany,0,0,0,0,0,0
Lukas Klostermann,Germany,0,0.35,0,0,3.18,0.09
Nemanja Nikolić,Hungary,1.76,0,22.65,0.14,0,0
Zsolt Kalmár,Hungary,0.7,0.7,9.01,0.06,10.77,0.07
Dávid Holman,Hungary,0.65,0,8.37,0.05,0,0
Máté Pátkai,Hungary,0.4,0,5.15,0.03,0,0
Dominik Szoboszlai,Hungary,0.37,0,4.76,0.03,0,0
Roland Sallai,Hungary,0,0,0,0,0,0
Ádám Nagy,Hungary,0,0,0,0,0,0
Roland Varga,Hungary,0,0,0,0,0,0
Krisztián Németh,Hungary,0,0,0,0,0,0
Balázs Dzsudzsák,Hungary,0,0.2,0,0,3.08,0.02
László Kleinheisler,Hungary,0,0.39,0,0,6,0.04
Filip Holender,Hungary,0,0,0,0,0,0
Máté Vida,Hungary,0,0,0,0,0,0
Attila Fiola,Hungary,0,0,0,0,0,0
Péter Gulácsi,Hungary,0,0,0,0,0,0
Dávid Sigér,Hungary,0,0.72,0,0,11.08,0.07
Dominik Nagy,Hungary,0,0,0,0,0,0
Cristiano Ronaldo,Portugal,1.9,0,29.1,0.47,0,0
Gonçalo Guedes,Portugal,1.29,0,19.75,0.32,0,0
Gonçalo Paciência,Portugal,1,1,15.31,0.25,11.19,0.18
William Carvalho,Portugal,1,0,15.31,0.25,0,0
Pizzi,Portugal,0.59,0,9.04,0.14,0,0
Bernardo Silva,Portugal,0.54,1.08,8.27,0.13,12.08,0.19
Bruno Fernandes,Portugal,0.21,0.21,3.22,0.05,2.35,0.04
Rui Patrício,Portugal,0,0,0,0,0,0
Danilo Pereira,Portugal,0,0,0,0,0,0
